loss,accuracy,val_loss,val_accuracy,trial_no,A_aug1_type,A_aug1_magnitude,A_aug2_type,A_aug2_magnitude,B_aug1_type,B_aug1_magnitude,B_aug2_type,B_aug2_magnitude,C_aug1_type,C_aug1_magnitude,C_aug2_type,C_aug2_magnitude,D_aug1_type,D_aug1_magnitude,D_aug2_type,D_aug2_magnitude,E_aug1_type,E_aug1_magnitude,E_aug2_type,E_aug2_magnitude,sample_no,mean_late_val_acc,epoch
2.222,0.168,2.217,0.192,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,1,0.253,1
2.051,0.239,1.875,0.313,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,1,0.253,2
2.233,0.153,2.118,0.247,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,2,0.256,1
2.056,0.238,1.938,0.265,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,2,0.256,2
2.239,0.158,2.083,0.221,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,3,0.262,1
2.059,0.235,1.924,0.302,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,3,0.262,2
2.24,0.151,2.127,0.181,1,<Brightness>,0,<Brightness>,3,<ShearY>,19,<Sharpness>,4,<Solarize>,24,<TranslateY>,26,<Posterize>,7,<Contrast>,24,<Color>,25,<identity>,9,1,0.234,1
2.109,0.215,2.019,0.287,1,<Brightness>,0,<Brightness>,3,<ShearY>,19,<Sharpness>,4,<Solarize>,24,<TranslateY>,26,<Posterize>,7,<Contrast>,24,<Color>,25,<identity>,9,1,0.234,2
2.26,0.136,2.131,0.208,1,<Brightness>,0,<Brightness>,3,<ShearY>,19,<Sharpness>,4,<Solarize>,24,<TranslateY>,26,<Posterize>,7,<Contrast>,24,<Color>,25,<identity>,9,2,0.261,1
2.099,0.227,1.979,0.313,1,<Brightness>,0,<Brightness>,3,<ShearY>,19,<Sharpness>,4,<Solarize>,24,<TranslateY>,26,<Posterize>,7,<Contrast>,24,<Color>,25,<identity>,9,2,0.261,2
