trial_no,A_aug1_type,A_aug1_magnitude,A_aug2_type,A_aug2_magnitude,B_aug1_type,B_aug1_magnitude,B_aug2_type,B_aug2_magnitude,C_aug1_type,C_aug1_magnitude,C_aug2_type,C_aug2_magnitude,D_aug1_type,D_aug1_magnitude,D_aug2_type,D_aug2_magnitude,E_aug1_type,E_aug1_magnitude,E_aug2_type,E_aug2_magnitude,mean_late_val_acc,expected_accuracy_increase(%)
0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,0.257,0.0
2,<Sharpness>,16,<ShearY>,30,<AutoContrast>,0,<TranslateY>,24,<ShearY>,29,<ShearX>,14,<ShearX>,1,<Equalize>,0,<Contrast>,20,<Posterize>,30,0.23666666666666666,-2.033333333333334
1,<Brightness>,0,<Brightness>,3,<ShearY>,19,<Sharpness>,4,<Solarize>,24,<TranslateY>,26,<Posterize>,7,<Contrast>,24,<Color>,25,<identity>,9,0.23399999999999999,-2.300000000000002
3,<ShearX>,23,<Rotate>,0,<identity>,21,<Equalize>,8,<Brightness>,15,<TranslateX>,10,<Color>,24,<TranslateX>,7,<identity>,3,<Sharpness>,11,0.21833333333333335,-3.8666666666666654
4,<Equalize>,27,<ShearX>,3,<Color>,25,<identity>,11,<TranslateY>,4,<Sharpness>,20,<Equalize>,4,<Brightness>,14,<Posterize>,3,<Brightness>,15,0.12966666666666668,-12.733333333333333
5,<AutoContrast>,21,<Solarize>,5,<Equalize>,0,<Sharpness>,30,<AutoContrast>,18,<Sharpness>,16,<TranslateY>,2,<Contrast>,16,<Brightness>,9,<identity>,10,0.10099999999999999,-15.600000000000003
