trial_no,A_aug1_type,A_aug1_magnitude,A_aug2_type,A_aug2_magnitude,B_aug1_type,B_aug1_magnitude,B_aug2_type,B_aug2_magnitude,C_aug1_type,C_aug1_magnitude,C_aug2_type,C_aug2_magnitude,D_aug1_type,D_aug1_magnitude,D_aug2_type,D_aug2_magnitude,E_aug1_type,E_aug1_magnitude,E_aug2_type,E_aug2_magnitude,mean_late_val_acc,expected_accuracy_increase(%)
0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,0.44166666666666665,0.0
1,<Brightness>,0,<Brightness>,3,<ShearY>,19,<Sharpness>,4,<Solarize>,24,<TranslateY>,26,<Posterize>,7,<Contrast>,24,<Color>,25,<identity>,9,0.4283333333333334,-1.3333333333333253
2,<Sharpness>,16,<ShearY>,30,<AutoContrast>,0,<TranslateY>,24,<ShearY>,29,<ShearX>,14,<ShearX>,1,<Equalize>,0,<Contrast>,20,<Posterize>,30,0.36333333333333334,-7.833333333333331
4,<Equalize>,27,<ShearX>,3,<Color>,25,<identity>,11,<TranslateY>,4,<Sharpness>,20,<Equalize>,4,<Brightness>,14,<Posterize>,3,<Brightness>,15,0.22999999999999998,-21.166666666666668
3,<ShearX>,23,<Rotate>,0,<identity>,21,<Equalize>,8,<Brightness>,15,<TranslateX>,10,<Color>,24,<TranslateX>,7,<identity>,3,<Sharpness>,11,0.22033333333333335,-22.13333333333333
21,<Solarize>,28,<Rotate>,3,<Solarize>,18,<ShearX>,2,<Contrast>,3,<Equalize>,26,<Rotate>,0,<Sharpness>,26,<Posterize>,5,<Contrast>,2,0.12933333333333333,-31.233333333333334
22,<Color>,28,<Rotate>,4,<Brightness>,24,<Solarize>,9,<Posterize>,1,<Sharpness>,30,<ShearY>,20,<Color>,21,<Contrast>,3,<identity>,7,0.12166666666666666,-32.0
5,<AutoContrast>,21,<Solarize>,5,<Equalize>,0,<Sharpness>,30,<AutoContrast>,18,<Sharpness>,16,<TranslateY>,2,<Contrast>,16,<Brightness>,9,<identity>,10,0.11933333333333333,-32.23333333333333
27,<ShearX>,16,<TranslateY>,19,<Posterize>,16,<identity>,24,<ShearY>,0,<TranslateY>,2,<Brightness>,28,<TranslateX>,11,<identity>,6,<Rotate>,28,0.118,-32.36666666666667
19,<Posterize>,18,<TranslateY>,24,<ShearX>,12,<Brightness>,30,<Posterize>,20,<ShearY>,25,<ShearX>,29,<Solarize>,21,<ShearX>,22,<Posterize>,9,0.11733333333333333,-32.43333333333333
20,<identity>,22,<Color>,24,<Color>,20,<Equalize>,3,<AutoContrast>,1,<AutoContrast>,4,<Contrast>,15,<TranslateY>,8,<Color>,11,<Solarize>,20,0.11566666666666665,-32.6
15,<Rotate>,30,<Rotate>,3,<TranslateX>,24,<Brightness>,27,<Contrast>,0,<TranslateX>,7,<Color>,26,<Equalize>,20,<Posterize>,11,<Rotate>,25,0.11366666666666668,-32.8
28,<ShearY>,2,<identity>,6,<Sharpness>,5,<Rotate>,4,<Brightness>,21,<AutoContrast>,17,<Posterize>,19,<Brightness>,30,<Color>,13,<Color>,16,0.11266666666666665,-32.9
29,<ShearY>,23,<Posterize>,1,<Color>,12,<ShearX>,27,<identity>,30,<Sharpness>,13,<Brightness>,27,<Contrast>,10,<Posterize>,27,<Solarize>,29,0.11,-33.166666666666664
30,<ShearX>,5,<Color>,17,<Color>,30,<identity>,5,<Posterize>,26,<ShearY>,24,<Color>,1,<TranslateX>,7,<AutoContrast>,14,<Rotate>,1,0.11,-33.166666666666664
23,<Equalize>,0,<ShearX>,11,<Equalize>,19,<Brightness>,5,<TranslateX>,11,<Equalize>,8,<TranslateX>,25,<ShearY>,2,<Posterize>,0,<Solarize>,14,0.10766666666666667,-33.4
25,<TranslateX>,2,<Posterize>,26,<TranslateX>,22,<TranslateX>,15,<Posterize>,19,<Solarize>,16,<identity>,15,<Rotate>,0,<identity>,13,<TranslateY>,6,0.107,-33.46666666666667
6,<Rotate>,26,<Color>,27,<AutoContrast>,2,<TranslateX>,30,<identity>,18,<Contrast>,20,<Rotate>,27,<TranslateX>,26,<Brightness>,10,<Rotate>,8,0.10666666666666667,-33.5
18,<Equalize>,17,<Rotate>,12,<identity>,6,<TranslateY>,8,<ShearY>,7,<Rotate>,22,<Equalize>,25,<Posterize>,6,<ShearY>,20,<Solarize>,28,0.105,-33.666666666666664
7,<Sharpness>,19,<Sharpness>,22,<Solarize>,19,<Color>,19,<identity>,8,<Color>,24,<Sharpness>,3,<Sharpness>,11,<TranslateY>,8,<ShearX>,8,0.104,-33.766666666666666
